Countries,lag_1,lag_2,lag_3,lag_4,lag_5,y
Cyprus,18.31,19.31,19.9,20.09,22.92,17.53
Cyprus,17.53,18.31,19.31,19.9,20.09,18.31
Cyprus,18.31,17.53,18.31,19.31,19.9,24.25
Cyprus,24.25,18.31,17.53,18.31,19.31,21.65
Cyprus,21.65,24.25,18.31,17.53,18.31,19.81
Cyprus,19.9,20.09,22.92,20.83,20.03,19.31
Cyprus,19.31,19.9,20.09,22.92,20.83,18.31
Cyprus,18.31,19.31,19.9,20.09,22.92,17.53
Cyprus,17.53,18.31,19.31,19.9,20.09,18.31
Cyprus,18.31,17.53,18.31,19.31,19.9,24.25
Cyprus,24.25,18.31,17.53,18.31,19.31,21.65
Cyprus,21.65,24.25,18.31,17.53,18.31,19.81
Cyprus,19.9,20.09,22.92,20.83,20.03,19.31
Cyprus,19.31,19.9,20.09,22.92,20.83,18.31
Cyprus,18.31,19.31,19.9,20.09,22.92,17.53
Cyprus,17.53,18.31,19.31,19.9,20.09,18.31
Cyprus,18.31,17.53,18.31,19.31,19.9,24.25
Cyprus,24.25,18.31,17.53,18.31,19.31,21.65
Cyprus,21.65,24.25,18.31,17.53,18.31,19.81
Cyprus,19.9,20.09,22.92,20.83,20.03,19.31
Cyprus,19.31,19.9,20.09,22.92,20.83,18.31
Cyprus,18.31,19.31,19.9,20.09,22.92,17.53
Cyprus,17.53,18.31,19.31,19.9,20.09,18.31
Cyprus,18.31,17.53,18.31,19.31,19.9,24.25
Cyprus,24.25,18.31,17.53,18.31,19.31,21.65
Cyprus,21.65,24.25,18.31,17.53,18.31,19.81
Cyprus,19.9,20.09,22.92,20.83,20.03,19.31
Cyprus,19.31,19.9,20.09,22.92,20.83,18.31
Cyprus,18.31,19.31,19.9,20.09,22.92,17.53
Cyprus,17.53,18.31,19.31,19.9,20.09,18.31
Cyprus,18.31,17.53,18.31,19.31,19.9,24.25
Cyprus,24.25,18.31,17.53,18.31,19.31,21.65
Cyprus,21.65,24.25,18.31,17.53,18.31,19.81
Cyprus,19.9,20.09,22.92,20.83,20.03,19.31
Cyprus,19.31,19.9,20.09,22.92,20.83,18.31
