geo,age,sex,citizen,acceptance_rate
Austria,Less than 14 years,Females,Georgia,0.3076923076923077
Austria,Less than 14 years,Females,Guinea,1.0
Austria,Less than 14 years,Females,India,0.0
Austria,Less than 14 years,Females,Iran,0.8409090909090909
Austria,Less than 14 years,Females,Iraq,0.875
Austria,Less than 14 years,Females,Jordan,0.25
Austria,Less than 14 years,Females,Kazakhstan,1.0
Austria,Less than 14 years,Females,Kosovo*,0.4
Austria,Less than 14 years,Females,Kyrgyzstan,0.0
Austria,Less than 14 years,Females,Lebanon,0.5
Austria,Less than 14 years,Females,Moldova,0.0
Austria,Less than 14 years,Females,Mongolia,0.3333333333333333
Austria,Less than 14 years,Females,Morocco,0.5
Austria,Less than 14 years,Females,Nigeria,0.6666666666666666
Austria,Less than 14 years,Females,North Macedonia,0.14285714285714285
Austria,Less than 14 years,Females,Pakistan,0.8571428571428571
Austria,Less than 14 years,Females,Russia,0.768595041322314
Austria,Less than 14 years,Females,Serbia,0.3333333333333333
Austria,Less than 14 years,Females,Somalia,0.9870967741935484
Austria,Less than 14 years,Females,Stateless,0.95
Austria,Less than 14 years,Females,Sudan,1.0
Austria,Less than 14 years,Females,Syria,0.9968847352024922
Austria,Less than 14 years,Females,Tajikistan,1.0
Austria,Less than 14 years,Females,Total,0.9266409266409267
Austria,Less than 14 years,Females,Tunisia,0.0
Austria,Less than 14 years,Females,Türkiye,0.19318181818181818
Austria,Less than 14 years,Females,Uganda,1.0
Austria,Less than 14 years,Females,Ukraine,0.6666666666666666
Austria,Less than 14 years,Females,Unknown,0.9375
Austria,Less than 14 years,Females,Uzbekistan,0.25
Austria,Less than 14 years,Females,Venezuela,0.6666666666666666
Austria,Less than 14 years,Females,Yemen,1.0
Austria,Less than 14 years,Males,Afghanistan,0.984375
Austria,Less than 14 years,Males,Albania,0.0
Austria,Less than 14 years,Males,Armenia,0.1111111111111111
Austria,Less than 14 years,Males,Azerbaijan,0.2
Austria,Less than 14 years,Males,Bangladesh,0.6666666666666666
Austria,Less than 14 years,Males,Bosnia and Herzegovina,0.0
Austria,Less than 14 years,Males,Cameroon,0.75
Austria,Less than 14 years,Males,China,1.0
Austria,Less than 14 years,Males,Congo,1.0
Austria,Less than 14 years,Males,Democratic Republic of the Congo,0.6
Austria,Less than 14 years,Males,Egypt,0.3333333333333333
Austria,Less than 14 years,Males,Eritrea,1.0
Austria,Less than 14 years,Males,Ethiopia,0.8
Austria,Less than 14 years,Males,"Gambia, The",1.0
Austria,Less than 14 years,Males,Georgia,0.2857142857142857
Austria,Less than 14 years,Males,Guinea,1.0
Austria,Less than 14 years,Males,India,0.0
Austria,Less than 14 years,Males,Iran,0.8979591836734694
Austria,Less than 14 years,Males,Iraq,0.8354430379746836
Austria,Less than 14 years,Males,Jordan,0.5
Austria,Less than 14 years,Males,Kosovo*,0.4
Austria,Less than 14 years,Males,Kyrgyzstan,0.6666666666666666
Austria,Less than 14 years,Males,Lebanon,0.3333333333333333
Austria,Less than 14 years,Males,Libya,1.0
Austria,Less than 14 years,Males,Moldova,0.0
Austria,Less than 14 years,Males,Mongolia,0.2
Austria,Less than 14 years,Males,Morocco,0.5
Austria,Less than 14 years,Males,Nigeria,0.6
Austria,Less than 14 years,Males,North Macedonia,0.0
Austria,Less than 14 years,Males,Pakistan,0.75
Austria,Less than 14 years,Males,Russia,0.7633587786259542
Austria,Less than 14 years,Males,Serbia,0.42857142857142855
Austria,Less than 14 years,Males,Somalia,0.9777777777777777
Austria,Less than 14 years,Males,Stateless,0.9518072289156626
Austria,Less than 14 years,Males,Sudan,1.0
Austria,Less than 14 years,Males,Syria,0.9963235294117647
Austria,Less than 14 years,Males,Tajikistan,0.8
Austria,Less than 14 years,Males,Total,0.927603115085088
Austria,Less than 14 years,Males,Tunisia,0.058823529411764705
Austria,Less than 14 years,Males,Türkiye,0.23958333333333334
Austria,Less than 14 years,Males,Ukraine,0.625
Austria,Less than 14 years,Males,Unknown,1.0
Austria,Less than 14 years,Males,Uzbekistan,0.2
Austria,Less than 14 years,Males,Venezuela,1.0
Austria,Less than 14 years,Males,Yemen,1.0
Austria,Less than 18 years,Females,Afghanistan,0.9890590809628009
Austria,Less than 18 years,Females,Albania,0.0
Austria,Less than 18 years,Females,Algeria,0.0
Austria,Less than 18 years,Females,Armenia,0.15384615384615385
Austria,Less than 18 years,Females,Azerbaijan,0.0
Austria,Less than 18 years,Females,Bangladesh,0.6666666666666666
Austria,Less than 18 years,Females,Belarus,1.0
Austria,Less than 18 years,Females,Bosnia and Herzegovina,0.0
Austria,Less than 18 years,Females,Cameroon,1.0
Austria,Less than 18 years,Females,China,1.0
Austria,Less than 18 years,Females,Congo,1.0
Austria,Less than 18 years,Females,Democratic Republic of the Congo,1.0
Austria,Less than 18 years,Females,Egypt,0.5
Austria,Less than 18 years,Females,Eritrea,1.0
Austria,Less than 18 years,Females,Ethiopia,1.0
Austria,Less than 18 years,Females,"Gambia, The",1.0
Austria,Less than 18 years,Females,Georgia,0.3333333333333333
Austria,Less than 18 years,Females,Guinea,1.0
Austria,Less than 18 years,Females,India,0.0
Austria,Less than 18 years,Females,Iran,0.8269230769230769
Austria,Less than 18 years,Females,Iraq,0.8414634146341463
Austria,Less than 18 years,Females,Jordan,0.25
Austria,Less than 18 years,Females,Kazakhstan,1.0
Austria,Less than 18 years,Females,Kosovo*,0.4
Austria,Less than 18 years,Females,Kyrgyzstan,0.0
Austria,Less than 18 years,Females,Lebanon,0.5
Austria,Less than 18 years,Females,Moldova,0.0
Austria,Less than 18 years,Females,Mongolia,0.5
Austria,Less than 18 years,Females,Morocco,0.5
Austria,Less than 18 years,Females,Nigeria,0.6666666666666666
Austria,Less than 18 years,Females,North Macedonia,0.125
Austria,Less than 18 years,Females,Pakistan,0.8571428571428571
Austria,Less than 18 years,Females,Russia,0.7596899224806202
Austria,Less than 18 years,Females,Serbia,0.25
Austria,Less than 18 years,Females,Somalia,0.9837837837837838
Austria,Less than 18 years,Females,Stateless,0.9529411764705882
Austria,Less than 18 years,Females,Sudan,1.0
Austria,Less than 18 years,Females,Syria,0.9961259079903148
Austria,Less than 18 years,Females,Tajikistan,0.8
Austria,Less than 18 years,Females,Total,0.92174168873198
Austria,Less than 18 years,Females,Tunisia,0.0
Austria,Less than 18 years,Females,Türkiye,0.19801980198019803
Austria,Less than 18 years,Females,Uganda,1.0
Austria,Less than 18 years,Females,Ukraine,0.6666666666666666
Austria,Less than 18 years,Females,Unknown,0.9375
Austria,Less than 18 years,Females,Uzbekistan,0.25
Austria,Less than 18 years,Females,Venezuela,0.75
Austria,Less than 18 years,Females,Yemen,1.0
Austria,Less than 18 years,Males,Afghanistan,0.9815837937384899
Austria,Less than 18 years,Males,Albania,0.0
Austria,Less than 18 years,Males,Armenia,0.16666666666666666
Austria,Less than 18 years,Males,Azerbaijan,0.2
Austria,Less than 18 years,Males,Bangladesh,0.75
Austria,Less than 18 years,Males,Bosnia and Herzegovina,0.0
Austria,Less than 18 years,Males,Cameroon,0.75
Austria,Less than 18 years,Males,China,0.9090909090909091
Austria,Less than 18 years,Males,Congo,1.0
Austria,Less than 18 years,Males,Democratic Republic of the Congo,0.6
Austria,Less than 18 years,Males,Egypt,0.3333333333333333
Austria,Less than 18 years,Males,Eritrea,1.0
Austria,Less than 18 years,Males,Ethiopia,0.8
Austria,Less than 18 years,Males,"Gambia, The",1.0
